0	2.1907958984	12.1020350372	6.0879312526
1	1.8446044922	8.5894777075	5.8818497310
2	3.8795776367	0.9825180257	2.0112191899
3	1.2102661133	5.4263039307	5.2735241936
4	1.2727966309	5.5939588890	5.3429593456
5	1.0842895508	5.1502217473	5.1188058094
6	0.8806457520	4.8109565701	4.8023394397
7	0.7702636719	4.6300969671	4.5791877534
8	1.8431396484	8.5775493572	5.8806317375
9	2.1929321289	12.1274383716	6.0883237338
10	2.4676513672	15.4044432563	5.9409639945
11	2.9874572754	15.1846752841	4.0607671864
12	1.2844543457	5.6278262983	5.3554910336
13	1.2472534180	5.5226906840	5.3150701018
14	0.0256958008	0.2572942353	2.0711255106
15	2.5860290527	16.4947826309	5.7044707912
16	3.4346313477	6.8636005903	2.4341490361
17	2.6706848145	16.9603318784	5.4545876287
18	1.3111572266	5.7086965281	5.3837708585
19	0.8810424805	4.8115733872	4.8030650092
20	0.6999816895	4.4934550727	4.4122506028
21	1.2529602051	5.5382701197	5.3213546466
22	3.6274414063	3.8241347616	2.1480950200
23	0.3606262207	3.1599701185	3.2992057614
24	1.2936096191	5.6550301715	5.3652516649
25	2.2947998047	13.3646843932	6.0846774344
26	0.1256103516	1.2438479895	2.3924308031
27	0.3928833008	3.3563135406	3.4238932399
28	3.5986022949	4.2288619852	2.1783653620
29	1.8771972656	8.8614493931	5.9085581598
30	0.2304382324	2.1942972362	2.7852417560
31	1.0578918457	5.1008173521	5.0831439372
32	0.6564941406	4.3941422615	4.2981105130
33	2.2561645508	12.8910932482	6.0916398485
34	0.1909484863	1.8511731383	2.6326938316
35	2.1048583984	11.1104026406	6.0596758202
36	0.7803344727	4.6478649908	4.6014307599
37	1.3820800781	5.9471755934	5.4564219343
38	2.7562561035	17.0623069530	5.1355314520
39	1.0341186523	5.0582838995	5.0498645499
40	1.2930297852	5.6532912418	5.3646355458
41	0.5444030762	4.0608149859	3.9634178539
42	2.9765014648	15.3401427938	4.1140404568
43	1.3040771484	5.6867992669	5.3763277790
44	3.3907470703	7.6591970509	2.5310990848
45	0.1410522461	1.3911397842	2.4474812734
46	2.1284179688	11.3757782786	6.0696339292
47	2.6632995605	16.9330193241	5.4790876131
48	1.1310729980	5.2442999570	5.1790009837
49	0.5729980469	4.1584343963	4.0543849726
50	3.7661743164	2.1145892463	2.0488330016
51	0.6075744629	4.2642563733	4.1592825219
